INFO 2024-03-12 19:33:27,066 autoreload Watching for file changes with StatReloader
DEBUG 2024-03-12 19:33:27,067 autoreload Waiting for apps ready_event.
DEBUG 2024-03-12 19:33:27,072 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-03-12 19:33:27,102 autoreload Watching dir /home/django/Documents/movie-project/templates with glob **/*.
DEBUG 2024-03-12 19:33:27,103 autoreload Watching dir /home/django/Documents/movie-project/locale with glob **/*.mo.
DEBUG 2024-03-12 19:33:27,103 autoreload Watching dir /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django_countries/locale with glob **/*.mo.
DEBUG 2024-03-12 19:33:27,103 autoreload Watching dir /home/django/Documents/movie-project/apps/entry/locale with glob **/*.mo.
DEBUG 2024-03-12 19:33:27,103 autoreload Watching dir /home/django/Documents/movie-project/apps/movie/locale with glob **/*.mo.
DEBUG 2024-03-12 19:33:27,176 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-03-12 19:33:27,179 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-03-12 19:33:27,233 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/core/checks/model_checks.py first seen with mtime 1709743567.1334374
DEBUG 2024-03-12 19:33:27,234 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/models/constraints.py first seen with mtime 1709743567.1634374
DEBUG 2024-03-12 19:33:27,234 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/utils/version.py first seen with mtime 1709743567.206771
DEBUG 2024-03-12 19:33:27,234 autoreload File /usr/lib/python3.11/signal.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,234 autoreload File /usr/lib/python3.11/asyncio/taskgroups.py first seen with mtime 1706544237.0
DEBUG 2024-03-12 19:33:27,234 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/views/generic/base.py first seen with mtime 1709743567.2101042
DEBUG 2024-03-12 19:33:27,234 autoreload File /home/django/Documents/movie-project/backend/settings.py first seen with mtime 1710254006.0012057
DEBUG 2024-03-12 19:33:27,234 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/django/db/migrations/migration.py first seen with mtime 1709743567.160104
DEBUG 2024-03-12 19:33:27,234 autoreload File /home/django/Documents/movie-project/.environment/lib/python3.11/site-packages/sqlparse/filters/output.py first seen with mtime 1709743566.400104
DEBUG 2024-03-12 19:33:27,234 autoreload File /usr/lib/python3.11/http/cookies.py first seen with mtime 1706544237.0
